Name,id,Product,Weight(kg),Arrival,BestBefore,Maximum
shefali,-2298907791602927432,Tomato Big,37.5,2013-06-16,2013-06-22,40.0
anushka,-3763883785994142627,Tomato Small,29.0,2013-06-16,2013-06-22,32.0
mehtab,-7306772913005020966,Potato Red,20.5,2013-06-16,2013-06-22,21.0
mercy,-5690939918981728182,Potato White,15.5,2013-06-16,2013-06-22,16.0
mehnaz,-6840582954423772625,Carrot,32.5,2013-06-16,2013-06-22,35.0
rajbir,-5254222139817084366,Raddish Red,37.5,2013-06-16,2013-06-22,40.0
aamina,-3709490872329022915,Brinjal Long,17.0,2013-06-16,2013-06-22,18.0
divy,830602817135085407,Okara,22.5,2013-06-16,2013-06-22,25.0
jagdiesh,4105505874232099421,Brocauli,75.0,2013-06-16,2013-06-22,80.0
aamina,-3709490872329022915,Apple,110.0,2013-06-16,2013-06-22,120.0
divy,830602817135085407,Banana,75.0,2013-06-16,2013-06-22,80.0
raisuddin,-1894351938747062086,Lime,300.0,2013-06-16,2013-06-22,400.0
shanta,2960310750304784655,Mango,55.0,2013-06-16,2013-06-22,60.0
rampayari,2968148604061203207,Grapes,255.0,2013-06-16,2013-06-22,260.0
shefali,-2298907791602927432,Jack Fruit,22.5,2013-06-16,2013-06-22,25.0
patik,2723030288162985091,Papaya,65.0,2013-06-16,2013-06-22,70.0
patik,2723030288162985091,Tomato Big,27.5,2013-06-17,2013-06-23,30.0
shanta,2960310750304784655,Tomato Small,22.5,2013-06-17,2013-06-23,25.0
anushka,-3763883785994142627,Potato Red,20.5,2013-06-17,2013-06-23,21.0
jagdiesh,4105505874232099421,Potato White,15.5,2013-06-17,2013-06-23,16.0
shefali,-2298907791602927432,Carrot,37.5,2013-06-17,2013-06-23,40.0
anushka,-3763883785994142627,Raddish Red,37.5,2013-06-17,2013-06-23,40.0
haneef,5040385076877893978,Brinjal Long,19.0,2013-06-17,2013-06-23,20.0
sawan,-6149529968967915582,Okara,20.0,2013-06-17,2013-06-23,22.0
fakir,1247089047928546332,Brocauli,75.0,2013-06-17,2013-06-23,80.0
mehtab,-7306772913005020966,Apple,120.0,2013-06-17,2013-06-23,130.0
shefali,-2298907791602927432,Banana,75.0,2013-06-17,2013-06-23,80.0
sawan,-6149529968967915582,Lime,300.0,2013-06-17,2013-06-23,400.0
pushpa,6250299447907893656,Mango,55.0,2013-06-17,2013-06-23,60.0
shanta,2960310750304784655,Grapes,255.0,2013-06-17,2013-06-23,260.0
pinky,-788253433629545359,Jack Fruit,22.5,2013-06-17,2013-06-23,25.0
monish,-2881186788928815126,Papaya,65.0,2013-06-17,2013-06-23,70.0
jagdiesh,4105505874232099421,Tomato Big,27.5,2013-06-18,2013-06-24,30.0
pushpa,6250299447907893656,Tomato Small,24.0,2013-06-18,2013-06-24,26.0
sawan,-6149529968967915582,Potato Red,19.5,2013-06-18,2013-06-24,20.0
pushpa,6250299447907893656,Potato White,15.5,2013-06-18,2013-06-24,16.0
anushka,-3763883785994142627,Carrot,37.5,2013-06-18,2013-06-24,40.0
mehnaz,-6840582954423772625,Raddish Red,37.5,2013-06-18,2013-06-24,40.0
vijayanta,4365782647811874623,Brinjal Long,22.5,2013-06-18,2013-06-24,25.0
nakched,-4960447786618205247,Okara,22.5,2013-06-18,2013-06-24,25.0
mercy,-5690939918981728182,Brocauli,75.0,2013-06-18,2013-06-24,80.0
preetam,-2213805873980470021,Apple,115.0,2013-06-18,2013-06-24,120.0
rahu,2957258461367610484,Banana,75.0,2013-06-18,2013-06-24,80.0
rajbir,-5254222139817084366,Lime,300.0,2013-06-18,2013-06-24,400.0
rajbir,-5254222139817084366,Mango,55.0,2013-06-18,2013-06-24,60.0
monish,-2881186788928815126,Grapes,255.0,2013-06-18,2013-06-24,260.0
raisuddin,-1894351938747062086,Jack Fruit,22.5,2013-06-18,2013-06-24,25.0
anushka,-3763883785994142627,Papaya,57.5,2013-06-18,2013-06-24,60.0
gulnaz,495265023589704168,Tomato Big,27.5,2013-06-19,2013-06-25,30.0
haneef,5040385076877893978,Tomato Small,26.0,2013-06-19,2013-06-25,28.0
raisuddin,-1894351938747062086,Potato Red,20.5,2013-06-19,2013-06-25,21.0
rampayari,2968148604061203207,Potato White,15.5,2013-06-19,2013-06-25,16.0
ramotar,-2173245710817273785,Carrot,40.0,2013-06-19,2013-06-25,42.0
mercy,-5690939918981728182,Raddish Red,37.5,2013-06-19,2013-06-25,40.0
rajbir,-5254222139817084366,Brinjal Long,24.0,2013-06-19,2013-06-25,26.0
aamina,-3709490872329022915,Okara,37.5,2013-06-19,2013-06-25,40.0
preetam,-2213805873980470021,Brocauli,75.0,2013-06-19,2013-06-25,80.0
jasmen,-936895894803863828,Apple,115.0,2013-06-19,2013-06-25,120.0
jagdiesh,4105505874232099421,Banana,75.0,2013-06-19,2013-06-25,80.0
gulnaz,495265023589704168,Lime,300.0,2013-06-19,2013-06-25,400.0
rahu,2957258461367610484,Mango,55.0,2013-06-19,2013-06-25,60.0
pushpa,6250299447907893656,Grapes,255.0,2013-06-19,2013-06-25,260.0
aamina,-3709490872329022915,Jack Fruit,22.5,2013-06-19,2013-06-25,25.0
aamina,-3709490872329022915,Papaya,62.5,2013-06-19,2013-06-25,65.0
fakir,1247089047928546332,Tomato Big,27.5,2013-06-20,2013-06-26,30.0
pramal,-2691605640747198609,Tomato Small,24.0,2013-06-20,2013-06-26,26.0
preetam,-2213805873980470021,Potato Red,20.5,2013-06-20,2013-06-26,21.0
gulnaz,495265023589704168,Potato White,15.5,2013-06-20,2013-06-26,16.0
haneef,5040385076877893978,Carrot,41.0,2013-06-20,2013-06-26,42.0
guldasta,-7906434419713185929,Raddish Red,37.5,2013-06-20,2013-06-26,40.0
santo,4612333139155000023,Brinjal Long,22.5,2013-06-20,2013-06-26,25.0
monish,-2881186788928815126,Okara,37.5,2013-06-20,2013-06-26,40.0
rajbir,-5254222139817084366,Brocauli,75.0,2013-06-20,2013-06-26,80.0
monish,-2881186788928815126,Apple,115.0,2013-06-20,2013-06-26,120.0
preetam,-2213805873980470021,Banana,75.0,2013-06-20,2013-06-26,80.0
rampayari,2968148604061203207,Lime,300.0,2013-06-20,2013-06-26,400.0
rahu,2957258461367610484,Mango,55.0,2013-06-20,2013-06-26,60.0
jagdiesh,4105505874232099421,Grapes,255.0,2013-06-20,2013-06-26,260.0
mehnaz,-6840582954423772625,Jack Fruit,22.5,2013-06-20,2013-06-26,25.0
nakched,-4960447786618205247,Papaya,55.0,2013-06-20,2013-06-26,55.0
shanta,2960310750304784655,Tomato Big,27.5,2013-06-21,2013-06-27,30.0
monish,-2881186788928815126,Tomato Small,17.5,2013-06-21,2013-06-27,20.0
rajbir,-5254222139817084366,Potato Red,21.5,2013-06-21,2013-06-27,22.0
rampayari,2968148604061203207,Potato White,16.5,2013-06-21,2013-06-27,17.0
santo,4612333139155000023,Carrot,42.5,2013-06-21,2013-06-27,45.0
anushka,-3763883785994142627,Raddish Red,37.5,2013-06-21,2013-06-27,40.0
ramotar,-2173245710817273785,Brinjal Long,20.0,2013-06-21,2013-06-27,22.0
rahu,2957258461367610484,Okara,50.0,2013-06-21,2013-06-27,55.0
pushpa,6250299447907893656,Brocauli,75.0,2013-06-21,2013-06-27,80.0
patik,2723030288162985091,Apple,115.0,2013-06-21,2013-06-27,120.0
sanjeev,2699564478308651307,Banana,75.0,2013-06-21,2013-06-27,80.0
gulnaz,495265023589704168,Lime,300.0,2013-06-21,2013-06-27,400.0
anushka,-3763883785994142627,Mango,45.0,2013-06-21,2013-06-27,50.0
haneef,5040385076877893978,Grapes,255.0,2013-06-21,2013-06-27,260.0
anushka,-3763883785994142627,Jack Fruit,17.5,2013-06-21,2013-06-27,20.0
rahu,2957258461367610484,Papaya,57.5,2013-06-21,2013-06-27,60.0
haneef,5040385076877893978,Tomato Big,32.5,2013-06-25,2013-07-01,35.0
divy,830602817135085407,Tomato Small,27.5,2013-06-25,2013-07-01,30.0
jagdiesh,4105505874232099421,Potato Red,24.0,2013-06-25,2013-07-01,25.0
mercy,-5690939918981728182,Potato White,17.5,2013-06-25,2013-07-01,18.0
shefali,-2298907791602927432,Carrot,42.5,2013-06-25,2013-07-01,45.0
shefali,-2298907791602927432,Raddish Red,42.5,2013-06-25,2013-07-01,45.0
mercy,-5690939918981728182,Brinjal Long,37.5,2013-06-25,2013-07-01,40.0
mehtab,-7306772913005020966,Okara,42.5,2013-06-25,2013-07-01,45.0
haneef,5040385076877893978,Brocauli,75.0,2013-06-25,2013-07-01,80.0
guldasta,-7906434419713185929,Apple,120.0,2013-06-25,2013-07-01,130.0
divy,830602817135085407,Banana,65.0,2013-06-25,2013-07-01,70.0
patik,2723030288162985091,Lime,300.0,2013-06-25,2013-07-01,400.0
sawan,-6149529968967915582,Mango,55.0,2013-06-25,2013-07-01,60.0
sawan,-6149529968967915582,Grapes,255.0,2013-06-25,2013-07-01,260.0
